Voyage ID,Name of vessel,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)",Crew at first landing of captives,Crew at voyage outset,Standardized Tonnage (IMP),Sterling cash price in Jamaica (IMP),Percentage of captives who died during crossing (IMP),Percentage of women among landed slaves,Outcome of voyage if ship captured,Flag of vessel (IMP),Rig of Vessel,Place where vessel's voyage ended,Percent men,Percent boys,Broad region of captive disembarkation (IMP),Percent girls,Particular outcome,Percent children,Percentage women on voyage,Outcome of voyage for investors,Outcome of voyage for captives,Resistance,Percent male,Percent female,Broad region where voyage began (IMP),Broad region of captive purchase (IMP),Imputed region where voyage began,Date purchase of captives began,Date voyage completed,Region of return,Imputed principal region of captive disembarkation,Imputed Principal region of captive purchase,Date vessel departed Africa,Date voyage began,Imputed Place where vessel's voyage began,Date first disembarkation of captives,Imputed principal port of captive disembarkation,Date departed last place of landing,Imputed principal place of captive purchase,Sources,Enslavers
35140,Jager,1714.0,311.0,363.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Fregat,0,0.0,0.0,Caribbean,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Europe,Africa,Netherlands,",,","1714,,",None,Danish West Indies,Other Africa,",,","1712,12,",Middelburg,"1714,1,",St Thomas,",,","Africa, port unspecified","  “The Danish West Indies Under Company Rule,” n.d.|  “The Danish West Indies Under Company Rule,” n.d.|Public Advertiser",nan
35141,Overwinning van Rijssel,1715.0,120.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Europe,Africa,Netherlands,",,","1715,5,",None,Danish West Indies,Gold Coast,",,","1713,6,",Middelburg,"1715,2,","Danish West Indies, colony unspecified",",,",Pokesoe (Princes Town),"  Paeise, Ruud. Geschiedenis van de MCC: opkomst, bloei en ondergang. Zutphen, NL: Walburg Pers, 2014.|  “The Danish West Indies Under Company Rule,” n.d.|  Paeise, Ruud. Geschiedenis van de MCC: opkomst, bloei en ondergang. Zutphen, NL: Walburg Pers, 2014.|  “The Danish West Indies Under Company Rule,” n.d.",nan
35142,Zeelandia,1715.0,311.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Fregat,Vlissingen,0.0,0.0,Caribbean,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Europe,Africa,Netherlands,",,","1715,8,",Netherlands,Danish West Indies,Other Africa,",,","1713,10,",Middelburg,"1715,4,",St Thomas,",,","Africa, port unspecified","  “The Danish West Indies Under Company Rule,” n.d.|  “The Danish West Indies Under Company Rule,” n.d.|Public Advertiser",nan
35143,0,1715.0,245.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Europe,Africa,Netherlands,",,","1715,,",None,Danish West Indies,Other Africa,",,","1714,,",Zeeland,"1715,4,",St Thomas,",,","Africa, port unspecified","  Paeise, Ruud. Geschiedenis van de MCC: opkomst, bloei en ondergang. Zutphen, NL: Walburg Pers, 2014.|  “The Danish West Indies Under Company Rule,” n.d.|  Paeise, Ruud. Geschiedenis van de MCC: opkomst, bloei en ondergang. Zutphen, NL: Walburg Pers, 2014.|  “The Danish West Indies Under Company Rule,” n.d.",nan
35144,Catharina Galeij,1715.0,254.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Europe,Africa,Netherlands,",,","1716,4,",None,Danish West Indies,West Central Africa and St Helena,",,","1715,,",Vlissingen,"1715,9,",St Thomas,",,","West Central Africa and St Helena, port unspecified","  Paeise, Ruud. Geschiedenis van de MCC: opkomst, bloei en ondergang. Zutphen, NL: Walburg Pers, 2014.|  “The Danish West Indies Under Company Rule,” n.d.|  Paeise, Ruud. Geschiedenis van de MCC: opkomst, bloei en ondergang. Zutphen, NL: Walburg Pers, 2014.|  “The Danish West Indies Under Company Rule,” n.d.",nan
35147,Haabet Gally,1724.0,219.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,0,Africa,None,"1724,4,27",",,",None,Danish West Indies,Gold Coast,"1724,8,16",",,",None,"1724,11,","Danish West Indies, colony unspecified",",,",Christiansborg,"  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Justesen, Ole. Danish Sources for the History of Ghana, Vol. 1: 1657-1735, Vol. 2: 1735-1754. 2 vols. Fontes Historiae Africanae, Series Varia 8. Copenhagen, DK: Kgl. Danske Videnskabernes Selskab, 2005.|  “The Danish West Indies Under Company Rule,” n.d.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Justesen, Ole. Danish Sources for the History of Ghana, Vol. 1: 1657-1735, Vol. 2: 1735-1754. 2 vols. Fontes Historiae Africanae, Series Varia 8. Copenhagen, DK: Kgl. Danske Videnskabernes Selskab, 2005.|  “The Danish West Indies Under Company Rule,” n.d.",nan
35150,Young Knight,1726.0,130.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,0,Africa,None,",,",",,",None,Danish West Indies,Other Africa,",,",",,",None,"1726,7,","Danish West Indies, colony unspecified",",,","Africa, port unspecified","  “The Danish West Indies Under Company Rule,” n.d.|  “The Danish West Indies Under Company Rule,” n.d.",nan
35154,Postillonen,1746.0,79.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,0,Africa,None,",,",",,",None,Danish West Indies,Gold Coast,",,",",,",None,"1746,5,","Danish West Indies, colony unspecified",",,",Christiansborg,"  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Nørregård, Georg. Danish Settlements in West Africa, 1658-1850. Translated by Sigurd Mammen. Boston, MA, USA: Boston University Press, 1966.|  “The Danish West Indies Under Company Rule,” n.d.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Nørregård, Georg. Danish Settlements in West Africa, 1658-1850. Translated by Sigurd Mammen. Boston, MA, USA: Boston University Press, 1966.|  “The Danish West Indies Under Company Rule,” n.d.",nan
35156,Cron Printzens Ønske,1752.0,224.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,0,Africa,None,",,",",,",None,Danish West Indies,Gold Coast,"1752,1,7",",,",None,"1752,3,","Danish West Indies, colony unspecified",",,",Christiansborg,"  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Nørregård, Georg. Danish Settlements in West Africa, 1658-1850. Translated by Sigurd Mammen. Boston, MA, USA: Boston University Press, 1966.|  “The Danish West Indies Under Company Rule,” n.d.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Nørregård, Georg. Danish Settlements in West Africa, 1658-1850. Translated by Sigurd Mammen. Boston, MA, USA: Boston University Press, 1966.|  “The Danish West Indies Under Company Rule,” n.d.",nan
35157,Christianus Quintus (a) Christian V,1710.0,318.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural hazard,Denmark / Baltic,0,0,0.49226,0.03406,Spanish Mainland Americas,0.00619,"Shipwrecked or destroyed, after disembarkation",0.04025,0.46749,0,Slaves disembarked in Americas,0,0.52632,0.47368,0,Africa,None,"1709,4,16",",,",None,Spanish Circum-Caribbean,Bight of Benin,"1709,9,28",",,",None,"1710,2,","Spanish Circum-Caribbean,unspecified",",,","Whydah, Ouidah","  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Justesen, Ole. Danish Sources for the History of Ghana, Vol. 1: 1657-1735, Vol. 2: 1735-1754. 2 vols. Fontes Historiae Africanae, Series Varia 8. Copenhagen, DK: Kgl. Danske Videnskabernes Selskab, 2005.|  Nørregård, Georg. Danish Settlements in West Africa, 1658-1850. Translated by Sigurd Mammen. Boston, MA, USA: Boston University Press, 1966.|  “The Danish West Indies Under Company Rule,” n.d.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Justesen, Ole. Danish Sources for the History of Ghana, Vol. 1: 1657-1735, Vol. 2: 1735-1754. 2 vols. Fontes Historiae Africanae, Series Varia 8. Copenhagen, DK: Kgl. Danske Videnskabernes Selskab, 2005.|  Nørregård, Georg. Danish Settlements in West Africa, 1658-1850. Translated by Sigurd Mammen. Boston, MA, USA: Boston University Press, 1966.|  “The Danish West Indies Under Company Rule,” n.d.",nan
